Title;FonteDeRecurso;PublicoAlvo;Category
Chamada Pública MCTI/FINEP/CT-INFRA - Infraestrutura em campi estaduais e municipais - 02/2013;;;Infraestrutura
Edital de seleção pública conjunta MCTI/BNDES/FINEP de apoio à inovação tecnológica no setor de agronegócio - Inova Agro - 2013;;;Outros
Edital de seleção pública conjunta FINEP/BNDES/MD/AEB de apoio à inovação tecnológica nos setores aeroespacial, defesa e segurança - Inova Aerodefesa - 04/2013;;;Outros
Chamada Pública MCTI/FINEP/Ação Transversal - Infraestrutura de pesquisa em universidades comunitárias - 01/2013;;;Infraestrutura
Edital de seleção pública conjunta FINEP/MCTI/MS/CNPq de apoio à inovação tecnológica no setor de saúde - Inova Saúde - Biofármacos, Farmoquímicos e Medicamentos - 03/2013;;;Saúde
Edital de seleção pública conjunta BNDES/FINEP/MCTI/MINISTÉRIO DA SAÚDE de apoio à inovação tecnológica no setor de equipamentos médicos e tecnologias para a saúde - Inova Saúde (Equipamentos Médicos) - 02/2013;;;Saúde
Edital de seleção pública conjunta ANEEL/BNDES/FINEP de apoio à inovação tecnológica no setor elétrico - Inova Energia - 01/2013;;;Energia
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação – TI MAIOR 04/2013;;;Outros
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação – 03/2013 - Nanotecnologia;;;Tecnologia
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação - 02/2013 - Construção Sustentável e Saneamento Ambiental;;;Meio Ambiente
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação – 01/2013 - Produtos Obtidos por Processos Biotecnológicos;;;Tecnologia
Chamada Pública MCTI/Finep/CT-Infra 01/2013;;;Outros
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação - 01/2012 - Tema: Tecnologia Assistiva;;;Tecnologia
Edital de seleção pública conjunta FINEP/BNDES de apoio à inovação tecnológica industrial no setor de petróleo & gás - Inova Petro - 01/2012;;;Outros
Carta Convite MCT/Finep/Ação Transversal – Programa de Apoio à Inovação Tecnológica em Micro-Empresas e Empresas de Pequeno Porte - Tecnova 01/2012;;;Outros
Chamada Pública MCT/Finep/FSA – PRODECINE – 03/2010;;;Outros
PROGRAMA FINEP INOVAR FUNDOS - 13a CHAMADA INOVAR FUNDOS;;;Outros
Chamada Pública MCTI/SECIS/Finep/FNDCT – Cooperação Empresa-ICT –Tecnologia Assistiva – 01/2011;;;Tecnologia
Chamada Pública MCTI/Finep/CT-INFRA - Proinfra – 01/2011;;;Infraestrutura
PROGRAMA FINEP INOVAR FUNDOS - 12a CHAMADA INOVAR FUNDOS;;;Outros
Plano de apoio à inovação tecnológica industrial dos setores sucroenergético e sucroquímico - PAISS;;;Outros
Chamada Pública MCT/Finep/FSA – PRODECINE - 01/2010;;;Outros
Chamada Pública MCT/Finep/CT-Infra - PROINFRA - 02/2010;;;Infraestrutura
Carta Convite MCT/Finep/AT - PNI - Incubadoras  12/2010;;;Outros
Chamada Pública MCT/Finep/AT - PNI - Parques Tecnológicos  11/2010;;;Outros
Chamada Pública MCT/Finep/FSA – PRODECINE - 02/2010;;;Outros
Chamada Pública MCT/Finep/FSA – PRODAV – 01/2010;;;Outros
