Title;FonteDeRecurso;PublicoAlvo;Category
Programa de Aceleração Espaço Finep;Recursos Próprios;Empresas;"Aeronáutica; Agricultura Aplicada; BIM - Building Information Modeling; Biotecnologia; Defesa; Economia Criativa - jogos eletrônicos; Educação; Energia; Fintech; Healthtech; Inteligência Artificial; Internet das Coisas - IoT; Manufatura avançada; Nanotecnologia; Petróleo, gás e etanol; Recursos hídricos; Saneamento; Saúde; TICs - Tecnologia de Informação e Comunicação; TV Digital; Outros"
Mulheres Inovadoras;Próprios;Empresas;"Aeronáutica; Agricultura Aplicada; Agricultura, agronegócio e saúde animal; Agritech; Aquaviário; BIM - Building Information Modeling; Biotecnologia; Blockchain; Cidades Sustentáveis; Ciências Sociais; Cirurgia Robótica em Hospitais Universitários; Combustíveis; Defesa; Descentralização de recursos; Economia Criativa - jogos eletrônicos; Educação; Energia; Engenharias; Esportes; Fármacos; Fintech; Floricultura e fruticultura do Bioma da Caatinga; Habitação; Healthtech; TV Digital"
Programa de Investimento em Startups Inovadoras;Recursos Próprios;Empresas;"Aeronáutica; Agritech; Cidades Sustentáveis; Defesa; Educação; Energia; Healthtech; Inteligência Artificial; Internet das Coisas - IoT; Manufatura avançada; Nanotecnologia; Realidade Aumentada, Realidade Virtual e Realidade Mista; Recursos hídricos; Saneamento; Sustentabilidade; Outros"
Programa de Investimento em Startups Inovadoras;;;
Edital de Seleção de Gestor para o FIP Inova Empresa - 2019;Recursos Próprios;Gestores de Fundos de Investimento em Participações;"Aeronáutica; Agricultura, agronegócio e saúde animal; Biotecnologia; Cidades Sustentáveis; Defesa; Energia; Internet das Coisas - IoT; Manufatura avançada; Nanotecnologia; Recursos hídricos; Recursos minerais; Saneamento; Saúde; Tecnologia Espacial; Tecnologia Social; TICs - Tecnologia de Informação e Comunicação; Venture Capital; Outros"
1ª Chamada Pública Subvenção Finep-Israel - 01/2018;Subvenção econômica;Empresas;"Aeronáutica; Agricultura, agronegócio e saúde animal; Aquaviário; Educação; Engenharias; Fintech; Nanotecnologia; Química; TICs - Tecnologia de Informação e Comunicação; Transportes"
Ação Transversal / Projetos Institucionais 02/2018;FNDCT;"Universidades ; Instituições de Pesquisa";"Agricultura, agronegócio e saúde animal; Fármacos; Inteligência Artificial; Meio Ambiente; Mineração; Nanotecnologia; Química; Saúde; Sustentabilidade; Outros"
Ação Transversal / P&I em Saneamento  01/2018;;;
Olimpíadas do Conhecimento ou Científicas 02/2018;Recursos Próprios - Finep;"ICTs ; Empresas ; Instituições de Pesquisa";"Educação ; Outros"
ERA-MIN 2018 - Matérias-Primas para o Desenvolvimento Sustentável e Economia Circular;FNDCT;"Empresas ; Instituições de Pesquisas";"Recursos minerais ; Sustentabilidade"
SOS Equipamentos - Fluxo Contínuo;Ação Transversal;Instituições de Pesquisa;Infraestrutura de pesquisa
Finep CT-INFRA 04/2018 - Temática;Ações Transversais;Instituições de Pesquisa;"Biotecnologia; Ciências Sociais; Engenharias; Infraestrutura de pesquisa; Meio Ambiente; Nanotecnologia; Saúde; Outros"
Finep CT-INFRA 03/2018 - Manutenção;CT-Infra;Instituições de Pesquisa;Infraestrutura de pesquisa
Finep CT-INFRA 02/2018 - Novos campi;CT-Infra;Instituições de Pesquisa;Infraestrutura de pesquisa
Finep CT-INFRA 01/2018 - Complementação de obras;CT-Infra;Instituições de Pesquisa;Infraestrutura de pesquisa
EUREKA — Globalstars Brasil 2018;"FNDCT — Subvenção Econômica ; Recursos Próprios";Empresas;Outros
Programa de Investimento em Startups Inovadoras;Recursos próprios;Empresas;"Agritech; BIM - Building Information Modeling; Biotecnologia; Blockchain; Combustíveis; Defesa; Economia Criativa - jogos eletrônicos; Educação; Energia; Fintech; Healthtech; Inteligência Artificial; Internet das Coisas - IoT; Manufatura avançada; Microeletrônica; Mineração; Nanotecnologia; Petróleo, gás e etanol; Química; Recursos minerais; TV Digital; Venture Capital"
Transferência de Tecnologia do SGDC – 01/2018;Fundo Nacional de Desenvolvimento Científico e Tecnológico - FNDCT/SUBVENÇÃO ECONÔMICA;Empresas;Tecnologia Espacial
Centelha - Geração de Empreendimentos Inovadores 01/2018;Subvenção Econômica;Empresas;"TV Digital; Outros"
FINEP - TECNOVA II 01/2018;Subvenção econômica;Empresas;Outros
Olimpíadas do Conhecimento ou Científicas;;;
Finep e Conselho Norueguês (RCN);;;
Seleção Gestor FIP Inova Empresa;;;
Chamada Pública Bilateral Finep – CDTI para Projetos de Inovação Tecnológica entre Empresas do Brasil e da Espanha;"FNDCT ; Funttel ; Recursos Próprios Finep";Empresas;"Aeronáutica; Agricultura, agronegócio e saúde animal; Agritech; Aquaviário; Audiovisual; BIM - Building Information Modeling; Biotecnologia; Cidades Sustentáveis; Combustíveis; Defesa; Descentralização de recursos; Economia Criativa - jogos eletrônicos"
Investimento em Startups Inovadoras 2ª Rodada;;;
Finep e NRC (National Research Council of Canada);;;
Finep/CDTI - COOPERAÇÃO ICT-EMPRESA – 01/2017;FNDCT (Ação Transversal – TR Cooperação Internacional);"ICTs ; Empresas";Energia
Programa de Investimento em Startups Inovadoras;;;
ERA-MIN 2 - 2017;"FNDCT ; União Europeia";"ICTs ; Empresas";Recursos minerais 
AMAZÔNIA LEGAL 04/2016;FNDCT;"ICTs ; Empresas";"Agricultura, agronegócio e saúde animal; Biotecnologia; Energia; Infraestrutura de pesquisa; Química; Saúde e Fármacos; Sustentabilidade; Outros"
Finep / Vinnova - Cooperação ICT-Empresa - 08/2016;FNDCT;"ICTs ; Empresas";"Aeronáutica;Tecnologia Social;TV Digital;Venture Capital"
Plano de Desenvolvimento, Sustentabilidade e Inovação no Setor de Mineração e Transformação Mineral – INOVA MINERAL;;;
Apoio Institucional ao Sistema Nacional de C,T&I;;;
Institutos de Pesquisa do MCTI;FNDCT;"ICTs ; Empresas";Infraestrutura de pesquisa
Centros Nacionais Multiusuários;FNDCT;"ICTs ; Empresas";Infraestrutura de pesquisa
Chamada Pública MCTI/FINEP/FNDCT 01/2016 - Zika;FNDCT;Instituições de Pesquisa;Saúde e Fármacos
Chamada Pública Finep e Conselho Norueguês;FNDCT;Empresas;"Energia; Nanotecnologia; Petróleo, gás e etanol"
Edital Finep/BNDES - Padiq;"FINEP/FNDCT ; Reembolsável ; Cooperativo ICT / Empresa ; Investimento Direto ; Subvenção Econômica";"ICTs ; Empresas";"Química;Transportes"
Edital MCTI/SECIS/FINEP/FNDCT Viver Sem Limite;"FINEP ; FNDCT";"ICTs ; Empresas";Tecnologia Assitiva
